,VendorID,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,mta_tax,tolls_amount,improvement_surcharge,tip_amount
0,2,1,17.63,2,1,132,164,1,70.0,0.5,6.94,1,16.54
1,2,1,19.52,2,1,132,236,1,70.0,0.5,6.94,1,16.19
2,2,1,17.81,2,1,132,48,1,70.0,0.5,6.94,1,12.0
3,2,2,19.3,2,1,132,148,1,70.0,0.5,0.0,1,5.0
4,2,1,18.75,2,1,132,234,1,70.0,0.5,6.94,1,10.0
5,2,1,18.9,2,1,132,211,1,70.0,0.5,0.0,1,8.0
6,2,1,19.37,2,1,132,158,1,70.0,0.5,0.0,1,7.58
7,2,3,17.35,2,1,132,161,1,70.0,0.5,6.94,1,16.19
8,2,1,17.03,2,1,132,170,1,70.0,0.5,6.94,1,16.19
9,2,1,20.42,2,1,132,141,1,70.0,0.5,6.94,1,20.23
10,2,1,17.67,2,1,132,48,1,70.0,0.5,6.94,1,16.54
11,2,1,18.41,2,1,132,48,1,70.0,0.5,6.94,1,16.54
12,2,2,17.4,2,1,132,100,1,70.0,0.5,6.94,1,10.0
13,2,1,18.88,2,1,132,262,1,70.0,0.5,6.94,1,8.09
14,2,1,17.41,2,1,132,68,1,70.0,0.5,6.94,1,16.54
15,2,1,17.09,2,1,132,164,1,70.0,0.5,6.94,1,10.0
16,2,1,18.56,2,1,132,113,1,70.0,0.5,6.94,1,16.54
17,2,5,17.75,2,1,132,164,1,70.0,0.5,6.94,1,10.0
18,2,1,17.33,2,1,132,137,1,70.0,0.5,6.94,1,16.54
19,2,1,18.83,2,1,132,231,1,70.0,0.5,0.0,1,14.8
20,2,4,16.89,2,1,132,161,1,70.0,0.5,6.94,1,20.23
21,2,2,20.25,2,1,132,238,1,70.0,0.5,6.94,1,7.31
22,2,1,18.89,2,1,132,143,1,70.0,0.5,0.0,1,10.0
23,2,2,22.16,2,1,132,142,1,70.0,0.5,6.94,1,4.13
24,2,1,19.58,2,1,132,90,1,70.0,0.5,6.94,1,20.0
25,2,3,17.89,2,1,132,224,1,70.0,0.5,6.94,1,16.19
26,2,1,18.14,2,1,132,229,1,70.0,0.5,6.94,1,16.19
27,2,2,23.09,2,1,132,234,1,70.0,0.5,6.94,1,16.54
28,2,1,17.52,2,1,132,148,1,70.0,0.5,0.0,1,14.8
29,2,2,17.17,2,1,132,229,1,70.0,0.5,6.94,1,16.19
30,2,1,18.0,2,1,132,137,1,70.0,0.5,6.94,1,16.19
31,2,1,16.48,2,1,132,164,1,70.0,0.5,6.94,1,20.67
32,2,1,17.76,2,1,132,224,1,70.0,0.5,6.94,1,16.19
33,2,1,17.59,2,1,132,114,1,70.0,0.5,6.94,1,12.4
34,2,2,24.89,2,1,132,87,1,70.0,0.5,0.0,1,14.8
35,2,1,19.51,2,1,132,239,1,70.0,0.5,0.0,1,15.15
36,2,1,18.53,2,1,132,48,1,70.0,0.5,6.94,1,16.19
37,2,1,19.26,2,1,132,262,1,70.0,0.5,6.94,1,16.19
38,2,2,17.31,2,1,132,161,1,70.0,0.5,6.94,1,5.0
39,2,2,17.54,2,1,132,230,1,70.0,0.5,6.94,1,10.0
40,2,1,19.15,2,1,132,113,1,70.0,0.5,6.94,1,24.28
41,2,1,18.26,2,1,132,68,1,70.0,0.5,6.94,1,16.19
